gas,brake,rpm,steer,speed,g_force_x,g_force_y,g_force_z,wheel_slip_front_left,wheel_slip_front_right,wheel_slip_rear_left,wheel_slip_rear_right,pressure_front_left,pressure_front_right,pressure_rear_left,pressure_rear_right,tyre_temp_front_left,tyre_temp_front_right,tyre_temp_rear_left,tyre_temp_rear_right,air_temp,road_temp,yaw_rate,current_time_str,normalized_car_position,wind_speed,wind_direction,result
1.0,0.0,7969,0.0,252.63217163085938,0.30556413531303406,0.013480082154273987,0.04774332046508789,0.05597102269530296,0.05226399004459381,0.20702511072158813,0.2053237110376358,21.766189575195312,22.47437286376953,22.796985626220703,22.901229858398438,71.68669891357422,78.47504425048828,81.56745910644531,82.56670379638672,26.0,36.0,0.0019168638391420245,1:06:075,0.3283134698867798,0.0,-168.0,neutral
1.0,0.0,8003,0.0031500000040978193,253.76365661621094,0.3475148677825928,-0.0065862080082297325,0.05304107442498207,0.06222986802458763,0.04708937928080559,0.20731976628303528,0.20620501041412354,21.76602554321289,22.47802734375,22.799663543701172,22.9041748046875,71.68511199951172,78.51007843017578,81.5931396484375,82.59493255615234,26.0,36.0,0.0008992016082629561,1:06:177,0.32968267798423767,0.0,-168.0,neutral
1.0,0.0,8098,0.0,254.7747039794922,0.21956133842468262,-0.12267644703388214,-0.20797963440418243,0.06367895752191544,0.05309364199638367,0.2757432758808136,0.2710109353065491,21.765758514404297,22.48123550415039,22.802265167236328,22.906898498535156,71.68253326416016,78.5407943725586,81.61808776855469,82.62104034423828,26.0,36.0,-0.07137351483106613,1:06:276,0.33101797103881836,0.0,-168.0,neutral
1.0,0.0,8088,0.0,255.91244506835938,0.24320417642593384,-0.13083091378211975,0.022872522473335266,0.06761501729488373,0.04023471102118492,0.23364625871181488,0.21821726858615875,21.765892028808594,22.48486328125,22.805259704589844,22.909927368164062,71.68383026123047,78.5755386352539,81.64676666259766,82.65006256103516,26.0,36.0,-0.004902611952275038,1:06:375,0.3323591351509094,0.0,-168.0,neutral
1.0,0.0,8106,0.0,256.9682312011719,0.2637787461280823,-0.03285573795437813,-0.19708433747291565,0.06190801039338112,0.04490751773118973,0.21459431946277618,0.20830094814300537,21.765872955322266,22.488262176513672,22.80817413330078,22.913055419921875,71.68360900878906,78.60813903808594,81.6746597290039,82.68004608154297,26.0,36.0,0.003509617643430829,1:06:477,0.3337467908859253,0.0,-168.0,neutral
1.0,0.0,8112,0.0,258.0415954589844,0.3150296211242676,-0.0043783849105238914,0.13000179827213287,0.05842144787311554,0.05092746391892433,0.18421731889247894,0.18151170015335083,21.765575408935547,22.49146270751953,22.810665130615234,22.915817260742188,71.68075561523438,78.6387939453125,81.69856262207031,82.70650482177734,26.0,36.0,0.001525548635981977,1:06:576,0.3350982367992401,0.0,-168.0,neutral
1.0,0.0,8154,0.002624999964609742,259.01959228515625,0.3072052001953125,-0.013182437047362328,0.16370223462581635,0.05759001895785332,0.0446275919675827,0.19258613884449005,0.189566507935524,21.765838623046875,22.494956970214844,22.813377380371094,22.91879653930664,71.68329620361328,78.67230224609375,81.72455596923828,82.73504638671875,26.0,36.0,0.0016296120593324304,1:06:678,0.3364972770214081,0.0,-168.0,neutral
1.0,0.0,8196,0.01994999125599861,259.9692687988281,0.34481799602508545,-0.35179606080055237,-0.04833026975393295,0.10956521332263947,0.00626939395442605,0.215570330619812,0.20378388464450836,21.765918731689453,22.497940063476562,22.816150665283203,22.921661376953125,71.68408203125,78.70091247558594,81.75112915039062,82.76250457763672,26.0,36.0,-0.08517824858427048,1:06:777,0.33786073327064514,0.0,-168.0,neutral
1.0,0.0,8219,0.0,260.9393615722656,0.2947857975959778,-0.6691048741340637,-0.023274682462215424,0.0917116180062294,0.017731888219714165,0.24811194837093353,0.185824453830719,21.766319274902344,22.500396728515625,22.819252014160156,22.924335479736328,71.68789672851562,78.7244644165039,81.78086853027344,82.78817749023438,26.0,36.0,-0.17260505259037018,1:06:876,0.33922845125198364,0.0,-168.0,neutral
1.0,0.0,8249,0.0,261.84967041015625,0.2698151767253876,-0.4589587152004242,-0.03914310410618782,0.09824007004499435,0.0136296721175313,0.23283405601978302,0.17995993793010712,21.76650619506836,22.50295639038086,22.822101593017578,22.926883697509766,71.68965148925781,78.74899291992188,81.80818176269531,82.8125991821289,26.0,36.0,-0.015339254401624203,1:06:978,0.3406428098678589,0.0,-168.0,neutral
